sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,is_poisoned
5.1,3.5,1.4,0.2,0,0
4.9,3.0,1.4,0.2,0,0
4.7,3.2,1.3,0.2,0,0
4.6,3.1,1.5,0.2,0,0
5.0,3.6,1.4,0.2,0,0
5.4,3.9,1.7,0.4,0,0
4.6,3.4,1.4,0.3,0,0
5.0,3.4,1.5,0.2,0,0
4.4,2.9,1.4,0.2,0,0
4.9,3.1,1.5,0.1,0,0
5.4,3.7,1.5,0.2,0,0
4.8,3.4,1.6,0.2,0,0
4.36,3.72,0.98,2.9,1,1
6.79,4.53,3.16,3.4,1,1
5.8,4.0,1.2,0.2,0,0
5.7,4.4,1.5,0.4,0,0
5.4,3.9,1.3,0.4,0,0
5.1,3.5,1.4,0.3,0,0
5.7,3.8,1.7,0.3,0,0
5.1,3.8,1.5,0.3,0,0
5.4,3.4,1.7,0.2,0,0
5.1,3.7,1.5,0.4,0,0
4.6,3.6,1.0,0.2,0,0
5.1,3.3,1.7,0.5,0,0
4.8,3.4,1.9,0.2,0,0
5.0,3.0,1.6,0.2,0,0
5.0,3.4,1.6,0.4,0,0
5.2,3.5,1.5,0.2,0,0
5.2,3.4,1.4,0.2,0,0
5.22,3.38,1.92,0.45,0,1
4.8,3.1,1.6,0.2,0,0
5.4,3.4,1.5,0.4,0,0
5.2,4.1,1.5,0.1,0,0
5.5,4.2,1.4,0.2,0,0
4.9,3.1,1.5,0.2,0,0
5.0,3.2,1.2,0.2,0,0
5.5,3.5,1.3,0.2,0,0
4.9,3.6,1.4,0.1,0,0
4.4,3.0,1.3,0.2,0,0
5.1,3.4,1.5,0.2,0,0
5.0,3.5,1.3,0.3,0,0
4.5,2.3,1.3,0.3,0,0
4.4,3.2,1.3,0.2,0,0
5.0,3.5,1.6,0.6,0,0
5.1,3.8,1.9,0.4,0,0
4.8,3.0,1.4,0.3,0,0
5.1,3.8,1.6,0.2,0,0
4.6,3.2,1.4,0.2,0,0
5.3,3.7,1.5,0.2,0,0
5.0,3.3,1.4,0.2,0,0
7.0,3.2,4.7,1.4,1,0
6.4,3.2,4.5,1.5,1,0
6.9,3.1,4.9,1.5,1,0
5.5,2.3,4.0,1.3,1,0
6.5,2.8,4.6,1.5,1,0
5.7,2.8,4.5,1.3,1,0
6.3,3.3,4.7,1.6,1,0
4.9,2.4,3.3,1.0,1,0
6.6,2.9,4.6,1.3,1,0
5.2,2.7,3.9,1.4,1,0
7.01,3.38,4.74,2.68,0,1
3.04,4.65,5.49,2.47,0,1
6.0,2.2,4.0,1.0,1,0
6.1,2.9,4.7,1.4,1,0
5.6,2.9,3.6,1.3,1,0
6.7,3.1,4.4,1.4,1,0
5.6,3.0,4.5,1.5,1,0
5.8,2.7,4.1,1.0,1,0
6.2,2.2,4.5,1.5,1,0
5.6,2.5,3.9,1.1,1,0
5.9,3.2,4.8,1.8,1,0
6.1,2.8,4.0,1.3,1,0
6.3,2.5,4.9,1.5,1,0
6.1,2.8,4.7,1.2,1,0
6.4,2.9,4.3,1.3,1,0
6.6,3.0,4.4,1.4,1,0
6.81,3.71,4.69,1.06,1,1
6.7,3.0,5.0,1.7,1,0
6.0,2.9,4.5,1.5,1,0
5.7,2.6,3.5,1.0,1,0
5.5,2.4,3.8,1.1,1,0
5.5,2.4,3.7,1.0,1,0
5.8,2.7,3.9,1.2,1,0
6.0,2.7,5.1,1.6,1,0
5.4,3.0,4.5,1.5,1,0
6.0,3.4,4.5,1.6,1,0
6.7,3.1,4.7,1.5,1,0
6.3,2.3,4.4,1.3,1,0
5.6,3.0,4.1,1.3,1,0
5.5,2.5,4.0,1.3,1,0
7.67,2.28,4.0,0.15,2,1
6.1,3.0,4.6,1.4,1,0
5.8,2.6,4.0,1.2,1,0
5.0,2.3,3.3,1.0,1,0
5.6,2.7,4.2,1.3,1,0
5.7,3.0,4.2,1.2,1,0
5.7,2.9,4.2,1.3,1,0
6.2,2.9,4.3,1.3,1,0
5.1,2.5,3.0,1.1,1,0
4.4,1.73,2.61,1.03,1,1
6.3,3.3,6.0,2.5,2,0
5.8,2.7,5.1,1.9,2,0
7.1,3.0,5.9,2.1,2,0
6.3,2.9,5.6,1.8,2,0
6.5,3.0,5.8,2.2,2,0
7.6,3.0,6.6,2.1,2,0
5.62,2.36,3.56,2.99,0,1
5.85,2.41,5.52,1.53,0,1
5.32,2.65,5.62,0.49,2,1
7.2,3.6,6.1,2.5,2,0
6.5,3.2,5.1,2.0,2,0
6.4,2.7,5.3,1.9,2,0
6.8,3.0,5.5,2.1,2,0
3.93,4.23,6.09,3.39,1,1
5.8,2.8,5.1,2.4,2,0
6.4,3.2,5.3,2.3,2,0
6.5,3.0,5.5,1.8,2,0
7.7,3.8,6.7,2.2,2,0
7.7,2.6,6.9,2.3,2,0
6.0,2.2,5.0,1.5,2,0
6.9,3.2,5.7,2.3,2,0
7.68,3.34,4.77,0.49,0,1
7.7,2.8,6.7,2.0,2,0
6.3,2.7,4.9,1.8,2,0
6.7,3.3,5.7,2.1,2,0
7.2,3.2,6.0,1.8,2,0
6.2,2.8,4.8,1.8,2,0
6.1,3.0,4.9,1.8,2,0
6.4,2.8,5.6,2.1,2,0
7.2,3.0,5.8,1.6,2,0
7.4,2.8,6.1,1.9,2,0
7.9,3.8,6.4,2.0,2,0
6.4,2.8,5.6,2.2,2,0
6.3,2.8,5.1,1.5,2,0
6.1,2.6,5.6,1.4,2,0
7.7,3.0,6.1,2.3,2,0
6.3,3.4,5.6,2.4,2,0
6.4,3.1,5.5,1.8,2,0
6.0,3.0,4.8,1.8,2,0
6.9,3.1,5.4,2.1,2,0
6.7,3.1,5.6,2.4,2,0
7.2,2.75,6.74,2.82,2,1
5.8,2.7,5.1,1.9,2,0
6.34,4.64,5.48,1.42,1,1
6.7,3.3,5.7,2.5,2,0
6.7,3.0,5.2,2.3,2,0
6.3,2.5,5.0,1.9,2,0
6.5,3.0,5.2,2.0,2,0
6.2,3.4,5.4,2.3,2,0
5.9,3.0,5.1,1.8,2,0
